Golgi control,Golgi atg7ko,Mito,Mito atg7ko,ER,ER atg7ko,Endosome,Endosome atg7ko,Nucleus,Nucleus atg7ko,Lysosome,Lysosome atg7ko,PM,PM atg7ko
,,0.189077,0.148094,-0.0868059,0.112309,0.155619,0.006441,0.136101,-0.707402,,,0.0118329,0.00492234
,,0.0193031,0.1346,0.110378,0.168996,0.0538346,0.0933456,0.102498,0.00901763,,,0.0168362,-0.0212832
,,0.146913,0.075673,0.0601993,0.19209,0.0968866,0.165791,0.19601,0.0323208,,,0.163906,-0.0366832
,,-0.00851019,0.0746634,-0.0546664,0.0228098,-0.0263934,-0.108581,-0.142831,-0.0453874,,,0.175517,-0.510864
,,0.226988,0.156066,-0.206809,-0.0565464,0.0664681,0.049336,0.0495499,0.103682,,,-0.0311266,0.156956
,,0.264802,0.0124618,0.0856186,-0.0633017,0.568444,0.0509152,-0.687059,0.118678,,,-0.0482042,0.00155629
,,0.0520244,0.144127,-0.262149,0.0198822,0.108592,0.0552382,-0.249104,0.038544,,,-0.371109,-0.21061
,,0.315296,0.144393,-0.312749,-0.197427,-0.129317,-0.0465071,-0.0564622,-0.125166,,,0.196042,-0.0355346
,,0.34887,-0.0428709,-0.0310299,0.124655,-0.019479,0.36897,-0.0290625,-0.0194972,,,0.200035,0.100589
,,0.101658,0.199079,-0.174504,0.0211156,0.09966,0.0233349,0.00243164,-0.543063,,,0.12079,0.200059
,,0.135941,0.24536,-0.436964,-0.403105,-0.0257897,-0.127664,0.0893153,0.00133186,,,-0.0698904,0.0471132
,,0.252778,-0.0170735,-0.11986,0.0370464,0.220008,-0.0427062,-0.0979684,-0.151287,,,0.115016,-0.00249656
,,0.204972,0.125022,0.134403,0.131324,-0.471155,0.0854909,-0.429598,0.00672631,,,0.0711382,-0.168447
,,0.241746,0.198271,-0.0558586,0.203886,0.187453,0.0163251,-0.0847965,0.00760047,,,0.0690487,0.00750279
,,0.0320461,0.123236,-0.272276,0.0955363,0.115771,0.162206,-0.276982,-0.0834744,,,0.0178073,0.0425758
,,-0.0514111,0.0964584,-0.342766,0.0291599,-0.0805706,-0.536504,0.229835,-0.113644,,,-0.209911,-0.00853604
,,0.191489,0.0304086,0.0747673,-0.194276,-0.185947,0.132895,0.128381,0.203028,,,0.0287685,-0.0854456
,,-0.175097,-0.123989,-0.0193427,0.0560421,0.243871,0.0183949,0.0521333,-0.250782,,,-0.0897247,0.0881845
,,0.235738,0.163143,-0.217373,-0.00706721,-0.127502,-0.0722267,0.0992955,-0.0649197,,,-0.0161538,-0.174177
,,0.194549,-0.129029,-0.396262,-0.23828,-0.0516454,-0.214865,-0.0591761,-0.215786,,,-0.0189017,0.0376214
,,0.183255,0.152171,-0.0839379,-0.321525,-0.0795567,0.150814,-0.00368751,0.170541,,,0.00639079,-0.104895
,,0.0843478,0.110846,-0.264988,0.054043,-0.115038,0.150614,0.145237,-0.392683,,,0.0785282,-0.187242
,,0.151484,0.119527,-0.22538,-0.0635047,0.333798,-0.0142804,0.310464,0.0727912,,,-0.454774,-0.158456
,,0.184484,0.0808711,-0.0756179,0.0552632,0.0677358,-0.0370726,0.0963881,0.0772947,,,-0.137509,-0.0936816
,,0.0660497,0.0541902,0.0962229,-0.0482477,,,0.150413,0.0727205,,,-0.201783,-0.0833266
,,0.110556,0.13537,-0.091666,0.362556,,,0.192155,-0.0495664,,,-0.0365198,-0.226464
,,0.265661,-0.15687,0.0466248,0.0775988,,,0.153737,0.0269212,,,-0.122569,-0.139565
,,0.167555,-0.0191071,-0.298822,0.153657,,,0.259019,0.0985945,,,-0.350485,0.141618
,,0.324073,-0.0286375,-0.135199,0.0647466,,,-0.0270745,0.0928349,,,0.000949997,0.0624178
,,0.378157,0.149421,-0.139536,-0.154734,,,0.0888114,0.279299,,,0.171343,-0.466713
,,0.206291,0.320374,0.0516041,-0.196521,,,0.0215294,0.137714,,,-0.479094,0.0567146
,,0.183542,0.301108,-0.0594717,-0.204337,,,-0.188444,0.164825,,,0.0232335,-0.117781
,,-0.226743,0.134693,-0.025123,0.164325,,,-0.484768,0.0623739,,,-0.185676,-0.0545931
,,0.14947,0.1436,0.0350597,0.161885,,,0.115907,0.184771,,,0.207916,0.00313448
,,0.119981,-0.309654,-0.201705,0.317856,,,0.26744,0.0309646,,,-0.16293,-0.163396
,,0.183568,0.163988,0.00818927,0.0809165,,,0.0946399,0.0371108,,,0.0993331,0.0442599
,,-0.0537405,0.0844048,0.0839775,0.125973,,,0.0349259,-0.0549904,,,0.0101669,0.0620089
,,0.145534,0.00420924,-0.106937,0.00495969,,,0.1192,-0.155728,,,-0.0563924,-0.0984486
,,0.21921,-0.117467,-0.0626158,-0.250237,,,0.103522,-0.183046,,,-0.166034,-0.224153
,,0.387411,0.079786,-0.140372,0.10392,,,-0.12516,0.119318,,,0.169913,0.124284
,,0.261265,0.111626,0.00703319,0.165408,,,-0.542858,0.254747,,,-0.179845,-0.345882
,,0.242757,0.181252,0.0144161,-0.0131323,,,-0.176205,0.0163753,,,0.0433998,0.00405052
,,0.236847,0.156735,-0.106954,0.086924,,,-0.320733,-0.0224009,,,0.164936,0.078527
,,0.213261,0.162123,-0.352587,0.133871,,,0.127914,0.079389,,,-0.19157,0.0208997
,,0.15577,0.199747,0.111801,0.129478,,,-0.283691,0.0618296,,,0.0574445,-0.125854
,,-0.0557296,0.334421,-0.750574,0.0693063,,,-0.396259,-0.227127,,,-0.103835,0.0661108
,,0.171498,-0.0234402,-0.137585,0.0583524,,,-0.117246,-0.072261,,,0.128016,0.0733799
,,-0.138349,-0.0127717,-0.126866,-0.402852,,,-0.0601566,-0.399208,,,0.037309,0.117882
,,0.0782037,0.0507929,-0.150951,0.292453,,,0.125459,-0.135077,,,-0.0504125,0.315956
,,0.306544,-0.123968,-0.114087,-0.587985,,,0.0903287,0.0960489,,,-0.065191,0.210713
,,0.147516,0.044885,0.0453245,0.106529,,,-0.0423266,-0.211328,,,0.0988096,-0.00728066
,,0.194315,0.151334,-0.23388,0.0482589,,,-0.213133,0.110226,,,-0.00434367,-0.0119241
,,0.204167,0.102033,-0.59168,0.0833089,,,-0.225655,-0.107553,,,0.092865,0.0142029
,,0.245428,0.12668,0.00968395,0.0188064,,,0.115388,-0.218404,,,0.171273,0.0788022
,,-0.0177821,0.205978,0.0935977,-0.116617,,,0.00274192,-0.095185,,,0.0429706,0.211886
,,0.190373,0.171227,-0.0513231,0.162105,,,0.328337,-0.101309,,,-0.226057,0.10569
,,0.137195,0.118211,-0.0524127,0.0471646,,,-0.226702,0.125235,,,0.059441,0.112757
,,0.0907648,0.142381,-0.0660569,-0.00220758,,,-0.00633237,0.0130705,,,0.130537,-0.225437
,,0.232671,0.00996635,-0.0255985,-0.512676,,,-0.0877908,-0.0924815,,,-0.0186267,-0.139722
,,0.288437,0.129631,0.0984514,0.133847,,,0.11462,0.00127493,,,0.187589,0.119917
,,0.362696,0.19684,0.236204,0.187426,,,0.40653,-0.225225,,,0.0137862,0.233892
,,-0.103082,0.199918,0.0317,0.177458,,,0.0241491,0.0636566,,,0.0821344,-0.120574
