Fig1_ScaledRank,Gene.Symbol,ScaledRank_HeLa,ScaledRank_HEK293,WT_EBSStoUT_HeLa,ATG7minWT_EBSStoUT_HeLa,priority_HeLa,WT_EBSStoUT_HEK293,ATG7minWT_EBSStoUT,priority_HEK293,prot_MinRank
0.580704161,ACTR3,0.480511182,0.496581898,0.097856654,-0.016713717,0,0.024453866,-0.029664856,0,0.480511182
0.580818473,ACTR2,0.480638978,0.496718622,0.043643813,0.092181462,0,-0.065276447,-0.118859074,0,0.480638978
0.580932785,TMEM258,0.480766773,NA,-0.286095167,-0.095284564,0,NA,NA,NA,0.480766773
0.581047096,COPS2,0.480894569,0.49699207,0.227016863,-0.313246866,0,0.024349644,-0.151414965,0,0.480894569
0.581161408,POLR2F,0.481022364,0.497128794,0.04230105,0.028376075,0,0.030797702,-0.294639131,0,0.481022364
0.58127572,ABCE1,0.48115016,0.497265518,0.164694313,-0.01847138,0,0.035746233,0.051930596,0,0.48115016
0.581390032,RAP2B,0.481277955,0.497538966,0.268998404,-0.057317177,0,0.177056608,-0.083016101,0,0.481277955
0.581504344,PSME3,0.481661342,0.497812415,-0.071809849,-0.308438888,0,-0.136885679,-0.026692673,0,0.481661342
0.581618656,ISL1,0.481789137,NA,0.014960827,-0.701128427,0,NA,NA,NA,0.481789137
0.581732968,PCBD1,0.481916933,0.498359311,0.140141763,-0.042405328,0,0.115057358,-0.104208718,0,0.481916933
0.581847279,MAPK12,NA,0.48195242,NA,NA,NA,0.154823393,-0.146236557,0,0.48195242
0.581961591,RPL37A,0.482044728,0.498496035,-0.120895295,-0.08437461,0,0.166741698,0.02482802,0,0.482044728
0.582075903,SLC5A3,NA,0.482089144,NA,NA,NA,0.169740666,-0.196121554,0,0.482089144
0.582190215,RND3,0.482172524,NA,0.082166553,0.455182019,0,NA,NA,NA,0.482172524
0.582304527,POLR2K,NA,0.482225868,NA,NA,NA,-0.384351085,-0.087713399,0,0.482225868
0.582418839,NAA20,0.482300319,0.498769483,0.076778022,-0.073136724,0,0.329718315,-0.10070345,0,0.482300319
0.58253315,STXBP1,0.482555911,0.499042931,0.074249307,-0.241818461,0,0.067687141,0.002360999,0,0.482555911
0.582647462,B2M,0.482683706,NA,0.37560244,-0.495754531,0,NA,NA,NA,0.482683706
0.582761774,RPL37,0.483067093,0.49931638,-0.101953067,-0.068375665,0,-0.191228247,-0.183879397,0,0.483067093
0.582876086,SUMO2,0.483194888,0.499453104,0.337413853,-0.459511375,0,-0.016156294,-0.036851671,0,0.483194888
0.582990398,UFM1,0.483322684,0.499589828,0.085728569,0.08543909,0,0.092526368,0.079648391,0,0.483322684
0.58310471,WDR5,0.483578275,0.499726552,0.345398562,-0.178394249,0,0.109068959,-0.144224961,0,0.483578275
0.583219021,AP1S1,0.48370607,0.499863276,0.023381269,0.01604272,0,0.012762174,-0.029430084,0,0.48370607
0.583333333,NUTF2,0.483833866,0.5,0.336116354,0.033946383,0,0.324566927,-0.212444276,0,0.483833866
0.583447645,HNRNPK,0.483961661,0.500136724,0.148608724,-0.095167321,0,0.128463451,-0.045119575,0,0.483961661
0.583561957,YWHAG,0.484089457,0.500273448,0.094626697,0.104848286,0,0.553507905,0.062879169,0,0.484089457
